NRM/DEL/M/CSL/UNI: l
NRM/DPL/N/CSL/UNI: bdh
NRM/DPL/N/CSL/DPX: xpf
NRM/DPL/N/CSL/DCT: lvz
NRM/DPL/N/CSL/AGG: rvz
NRM/DPL/N/CSL/SEG: rbdh
NRM/DPL/N/CSL/CPN: řpţ
NRM/DPL/N/CSL/COH: lpf
NRM/DPL/N/CSL/CST: rpf
NRM/DPL/N/CSL/MLT: bzd
NRM/DPL/N/ASO/UNI: gdh
NRM/DPL/N/ASO/DPX: ňdh
NRM/DPL/N/ASO/DCT: lvž
NRM/DPL/N/ASO/AGG: rvž
NRM/DPL/N/ASO/SEG: rgdh
NRM/DPL/N/ASO/CPN: řkţ
NRM/DPL/N/ASO/COH: lpç
NRM/DPL/N/ASO/CST: rpç
NRM/DPL/N/ASO/MLT: bžd
NRM/DPL/N/VAR/UNI: ţt
NRM/DPL/N/VAR/DPX: dhd
NRM/DPL/N/VAR/DCT: ldhz
NRM/DPL/N/VAR/AGG: rţs
NRM/DPL/N/VAR/SEG: rqţ
NRM/DPL/N/VAR/CPN: řqţ
NRM/DPL/N/VAR/COH: ňkç
NRM/DPL/N/VAR/CST: řpf
NRM/DPL/N/VAR/MLT: gzd
NRM/DPL/N/COA/UNI: db
NRM/DPL/N/COA/DPX: ttç/tçç
NRM/DPL/N/COA/DCT: ldhž
NRM/DPL/N/COA/AGG: rţš
NRM/DPL/N/COA/SEG: rkç
NRM/DPL/N/COA/CPN: řkç
NRM/DPL/N/COA/COH: mpç
NRM/DPL/N/COA/CST: řpç
NRM/DPL/N/COA/MLT: gžd
NRM/DPL/A/CSL/UNI: bż
NRM/DPL/A/CSL/DPX: rpss
NRM/DPL/A/CSL/DCT: lzb
NRM/DPL/A/CSL/AGG: rzb
NRM/DPL/A/CSL/SEG: nzb
NRM/DPL/A/CSL/CPN: řzb
NRM/DPL/A/CSL/COH: mzb
NRM/DPL/A/CSL/CST: řpss
NRM/DPL/A/CSL/MLT: gzb
NRM/DPL/A/ASO/UNI: gż
NRM/DPL/A/ASO/DPX: rkss
NRM/DPL/A/ASO/DCT: lžb
NRM/DPL/A/ASO/AGG: ržb
NRM/DPL/A/ASO/SEG: nžb
NRM/DPL/A/ASO/CPN: řžb
NRM/DPL/A/ASO/COH: mžb
NRM/DPL/A/ASO/CST: řkss
NRM/DPL/A/ASO/MLT: gžb
NRM/DPL/A/VAR/UNI: bj
NRM/DPL/A/VAR/DPX: rpšš
NRM/DPL/A/VAR/DCT: lzg
NRM/DPL/A/VAR/AGG: rzg
NRM/DPL/A/VAR/SEG: nzg
NRM/DPL/A/VAR/CPN: řzg
NRM/DPL/A/VAR/COH: mzg
NRM/DPL/A/VAR/CST: řpšš
NRM/DPL/A/VAR/MLT: bzg
NRM/DPL/A/COA/UNI: gj
NRM/DPL/A/COA/DPX: rkšš
NRM/DPL/A/COA/DCT: lžg
NRM/DPL/A/COA/AGG: ržg
NRM/DPL/A/COA/SEG: nžg
NRM/DPL/A/COA/CPN: řžg
NRM/DPL/A/COA/COH: mžg
NRM/DPL/A/COA/CST: řkšš
NRM/DPL/A/COA/MLT: bžg
NRM/GRA/M/CSL/UNI: kc’
NRM/GRA/M/CSL/DPX: ck’
NRM/GRA/M/CSL/DCT: lsk’
NRM/GRA/M/CSL/AGG: rsk’
NRM/GRA/M/CSL/SEG: nsk’
NRM/GRA/M/CSL/CPN: řsk’
NRM/GRA/M/CSL/COH: msk’
NRM/GRA/M/CSL/CST: ňsk’
NRM/GRA/M/CSL/MLT: ssk’
NRM/GRA/M/ASO/UNI: żb
NRM/GRA/M/ASO/DPX: ct’
NRM/GRA/M/ASO/DCT: lst’
NRM/GRA/M/ASO/AGG: rst’
NRM/GRA/M/ASO/SEG: nst’
NRM/GRA/M/ASO/CPN: řst’
NRM/GRA/M/ASO/COH: mst’
NRM/GRA/M/ASO/CST: ňst’
NRM/GRA/M/ASO/MLT: sst’
NRM/GRA/M/VAR/UNI: pc’
NRM/GRA/M/VAR/DPX: cp’
NRM/GRA/M/VAR/DCT: lsp’
NRM/GRA/M/VAR/AGG: rsp’
NRM/GRA/M/VAR/SEG: nsp’
NRM/GRA/M/VAR/CPN: řsp’
NRM/GRA/M/VAR/COH: msp’
NRM/GRA/M/VAR/CST: ňsp’
NRM/GRA/M/VAR/MLT: ssp’
NRM/GRA/M/COA/UNI: qc’
NRM/GRA/M/COA/DPX: cq’
NRM/GRA/M/COA/DCT: lsq’
NRM/GRA/M/COA/AGG: rsq’
NRM/GRA/M/COA/SEG: nsq’
NRM/GRA/M/COA/CPN: řsq’
NRM/GRA/M/COA/COH: msq’
NRM/GRA/M/COA/CST: ňsq’
NRM/GRA/M/COA/MLT: ssq’
NRM/GRA/U/CSL/UNI: kč’
NRM/GRA/U/CSL/DPX: čk’
NRM/GRA/U/CSL/DCT: lšk’
NRM/GRA/U/CSL/AGG: ršk’
NRM/GRA/U/CSL/SEG: nšk’
NRM/GRA/U/CSL/CPN: řšk’
NRM/GRA/U/CSL/COH: mšk’
NRM/GRA/U/CSL/CST: ňšk’
NRM/GRA/U/CSL/MLT: ššk’
NRM/GRA/U/ASO/UNI: jb
NRM/GRA/U/ASO/DPX: čt’
NRM/GRA/U/ASO/DCT: lšt’
NRM/GRA/U/ASO/AGG: ršt’
NRM/GRA/U/ASO/SEG: nšt’
NRM/GRA/U/ASO/CPN: řšt’
NRM/GRA/U/ASO/COH: mšt’
NRM/GRA/U/ASO/CST: ňšt’
NRM/GRA/U/ASO/MLT: ššt’
NRM/GRA/U/VAR/UNI: pč’
NRM/GRA/U/VAR/DPX: čp’
NRM/GRA/U/VAR/DCT: lšp’
NRM/GRA/U/VAR/AGG: ršp’
NRM/GRA/U/VAR/SEG: nšp’
NRM/GRA/U/VAR/CPN: řšp’
NRM/GRA/U/VAR/COH: mšp’
NRM/GRA/U/VAR/CST: ňšp’
NRM/GRA/U/VAR/MLT: ššp’
NRM/GRA/U/COA/UNI: qč’
NRM/GRA/U/COA/DPX: čq’
NRM/GRA/U/COA/DCT: lšq’
NRM/GRA/U/COA/AGG: ršq’
NRM/GRA/U/COA/SEG: nšq’
NRM/GRA/U/COA/CPN: řšq’
NRM/GRA/U/COA/COH: mšq’
NRM/GRA/U/COA/CST: ňšq’
NRM/GRA/U/COA/MLT: ššq’
NRM/GRA/N/CSL/UNI: kcʰ
NRM/GRA/N/CSL/DPX: ckʰ
NRM/GRA/N/CSL/DCT: lskʰ
NRM/GRA/N/CSL/AGG: rskʰ
NRM/GRA/N/CSL/SEG: nskʰ
NRM/GRA/N/CSL/CPN: řskʰ
NRM/GRA/N/CSL/COH: mskʰ
NRM/GRA/N/CSL/CST: ňskʰ
NRM/GRA/N/CSL/MLT: sskʰ
NRM/GRA/N/ASO/UNI: żg
NRM/GRA/N/ASO/DPX: ctʰ
NRM/GRA/N/ASO/DCT: lstʰ
NRM/GRA/N/ASO/AGG: rstʰ
NRM/GRA/N/ASO/SEG: nstʰ
NRM/GRA/N/ASO/CPN: řstʰ
NRM/GRA/N/ASO/COH: mstʰ
NRM/GRA/N/ASO/CST: ňstʰ
NRM/GRA/N/ASO/MLT: sstʰ
NRM/GRA/N/VAR/UNI: pcʰ
NRM/GRA/N/VAR/DPX: cpʰ
NRM/GRA/N/VAR/DCT: lspʰ
NRM/GRA/N/VAR/AGG: rspʰ
NRM/GRA/N/VAR/SEG: nspʰ
NRM/GRA/N/VAR/CPN: řspʰ
NRM/GRA/N/VAR/COH: mspʰ
NRM/GRA/N/VAR/CST: ňspʰ
NRM/GRA/N/VAR/MLT: sspʰ
NRM/GRA/N/COA/UNI: qcʰ
NRM/GRA/N/COA/DPX: cqʰ
NRM/GRA/N/COA/DCT: lsqʰ
NRM/GRA/N/COA/AGG: rsqʰ
NRM/GRA/N/COA/SEG: nsqʰ
NRM/GRA/N/COA/CPN: řsqʰ
NRM/GRA/N/COA/COH: msqʰ
NRM/GRA/N/COA/CST: ňsqʰ
NRM/GRA/N/COA/MLT: ssqʰ
NRM/GRA/A/CSL/UNI: kčʰ
NRM/GRA/A/CSL/DPX: čkʰ
NRM/GRA/A/CSL/DCT: lškʰ
NRM/GRA/A/CSL/AGG: rškʰ
NRM/GRA/A/CSL/SEG: nškʰ
NRM/GRA/A/CSL/CPN: řškʰ
NRM/GRA/A/CSL/COH: mškʰ
NRM/GRA/A/CSL/CST: ňškʰ
NRM/GRA/A/CSL/MLT: šškʰ
NRM/GRA/A/ASO/UNI: jg
NRM/GRA/A/ASO/DPX: čtʰ
NRM/GRA/A/ASO/DCT: lštʰ
NRM/GRA/A/ASO/AGG: rštʰ
NRM/GRA/A/ASO/SEG: nštʰ
NRM/GRA/A/ASO/CPN: řštʰ
NRM/GRA/A/ASO/COH: mštʰ
NRM/GRA/A/ASO/CST: ňštʰ
NRM/GRA/A/ASO/MLT: šštʰ
NRM/GRA/A/VAR/UNI: pčʰ
NRM/GRA/A/VAR/DPX: čpʰ
NRM/GRA/A/VAR/DCT: lšpʰ
NRM/GRA/A/VAR/AGG: ršpʰ
NRM/GRA/A/VAR/SEG: nšpʰ
NRM/GRA/A/VAR/CPN: řšpʰ
NRM/GRA/A/VAR/COH: mšpʰ
NRM/GRA/A/VAR/CST: ňšpʰ
NRM/GRA/A/VAR/MLT: ššpʰ
NRM/GRA/A/COA/UNI: qčʰ
NRM/GRA/A/COA/DPX: čqʰ
NRM/GRA/A/COA/DCT: lšqʰ
NRM/GRA/A/COA/AGG: ršqʰ
NRM/GRA/A/COA/SEG: nšqʰ
NRM/GRA/A/COA/CPN: řšqʰ
NRM/GRA/A/COA/COH: mšqʰ
NRM/GRA/A/COA/CST: ňšqʰ
NRM/GRA/A/COA/MLT: ššqʰ
RPV/DEL/M/CSL/UNI: tt
RPV/DEL/M/CSL/DPX: tt’
RPV/DEL/M/CSL/DCT: ttʰ
RPV/DEL/M/CSL/AGG: lpt’
RPV/DEL/M/CSL/SEG: rpt’
RPV/DEL/M/CSL/CPN: řpt’
RPV/DEL/M/CSL/COH: lptʰ
RPV/DEL/M/CSL/CST: rptʰ
RPV/DEL/M/CSL/MLT: řptʰ
RPV/DEL/M/ASO/UNI: kk
RPV/DEL/M/ASO/DPX: kk’
RPV/DEL/M/ASO/DCT: kkʰ
RPV/DEL/M/ASO/AGG: lkt’
RPV/DEL/M/ASO/SEG: rkt’
RPV/DEL/M/ASO/CPN: řkt’
RPV/DEL/M/ASO/COH: lktʰ
RPV/DEL/M/ASO/CST: rktʰ
RPV/DEL/M/ASO/MLT: řktʰ
RPV/DEL/M/VAR/UNI: pp
RPV/DEL/M/VAR/DPX: pp’
RPV/DEL/M/VAR/DCT: ppʰ
RPV/DEL/M/VAR/AGG: lpk’
RPV/DEL/M/VAR/SEG: rpk’
RPV/DEL/M/VAR/CPN: řpk’
RPV/DEL/M/VAR/COH: lpkʰ
RPV/DEL/M/VAR/CST: rpkʰ
RPV/DEL/M/VAR/MLT: řpkʰ
RPV/DEL/M/COA/UNI: qq
RPV/DEL/M/COA/DPX: qq’
RPV/DEL/M/COA/DCT: qqʰ
RPV/DEL/M/COA/AGG: ltk’
RPV/DEL/M/COA/SEG: rtk’
RPV/DEL/M/COA/CPN: řtk’
RPV/DEL/M/COA/COH: ltkʰ
RPV/DEL/M/COA/CST: rtkʰ
RPV/DEL/M/COA/MLT: řtkʰ
RPV/DEL/U/CSL/UNI: dd
RPV/DEL/U/CSL/DPX: nçw
RPV/DEL/U/CSL/DCT: pçw
RPV/DEL/U/CSL/AGG: lft’
RPV/DEL/U/CSL/SEG: rft’
RPV/DEL/U/CSL/CPN: řft’
RPV/DEL/U/CSL/COH: lftʰ
RPV/DEL/U/CSL/CST: rftʰ
RPV/DEL/U/CSL/MLT: řftʰ
RPV/DEL/U/ASO/UNI: gg
RPV/DEL/U/ASO/DPX: ňçw
RPV/DEL/U/ASO/DCT: kfw
RPV/DEL/U/ASO/AGG: lxt’
RPV/DEL/U/ASO/SEG: rxt’
RPV/DEL/U/ASO/CPN: řxt’
RPV/DEL/U/ASO/COH: lxtʰ
RPV/DEL/U/ASO/CST: rxtʰ
RPV/DEL/U/ASO/MLT: řxtʰ
RPV/DEL/U/VAR/UNI: bb
RPV/DEL/U/VAR/DPX: mçw
RPV/DEL/U/VAR/DCT: pfw
RPV/DEL/U/VAR/AGG: lfk’
RPV/DEL/U/VAR/SEG: rfk’
RPV/DEL/U/VAR/CPN: řfk’
RPV/DEL/U/VAR/COH: lfkʰ
RPV/DEL/U/VAR/CST: rfkʰ
RPV/DEL/U/VAR/MLT: řfkʰ
RPV/DEL/U/COA/UNI: cf
RPV/DEL/U/COA/DPX: čf
RPV/DEL/U/COA/DCT: qfw
RPV/DEL/U/COA/AGG: lţk’
RPV/DEL/U/COA/SEG: rţk’
RPV/DEL/U/COA/CPN: řţk’
RPV/DEL/U/COA/COH: lţkʰ
RPV/DEL/U/COA/CST: rţkʰ
RPV/DEL/U/COA/MLT: řţkʰ
RPV/DEL/N/CSL/UNI: ţw
RPV/DEL/N/CSL/DPX: dhw
RPV/DEL/N/CSL/DCT: lţw
RPV/DEL/N/CSL/AGG: rţw
RPV/DEL/N/CSL/SEG: mţw
RPV/DEL/N/CSL/CPN: řţw
RPV/DEL/N/CSL/COH: nţw
RPV/DEL/N/CSL/CST: ldhw
RPV/DEL/N/CSL/MLT: rdhw
RPV/DEL/N/ASO/UNI: xw
RPV/DEL/N/ASO/DPX: ňw
RPV/DEL/N/ASO/DCT: lxw
RPV/DEL/N/ASO/AGG: rxw
RPV/DEL/N/ASO/SEG: mxw
RPV/DEL/N/ASO/CPN: řxw
RPV/DEL/N/ASO/COH: ňxw
RPV/DEL/N/ASO/CST: lňw
RPV/DEL/N/ASO/MLT: rňw
RPV/DEL/N/VAR/UNI: fw
RPV/DEL/N/VAR/DPX: vw
RPV/DEL/N/VAR/DCT: lfw
RPV/DEL/N/VAR/AGG: rfw
RPV/DEL/N/VAR/SEG: ňfw
RPV/DEL/N/VAR/CPN: řfw
RPV/DEL/N/VAR/COH: mfw
RPV/DEL/N/VAR/CST: lvw
RPV/DEL/N/VAR/MLT: rvw
RPV/DEL/N/COA/UNI: xhw
RPV/DEL/N/COA/DPX: çw
RPV/DEL/N/COA/DCT: lxhw
RPV/DEL/N/COA/AGG: rxhw
RPV/DEL/N/COA/SEG: mxhw
RPV/DEL/N/COA/CPN: tçw
RPV/DEL/N/COA/COH: ňxhw
RPV/DEL/N/COA/CST: lçw
RPV/DEL/N/COA/MLT: rçw
RPV/DEL/A/CSL/UNI: sw
RPV/DEL/A/CSL/DPX: cw
RPV/DEL/A/CSL/DCT: lsw
RPV/DEL/A/CSL/AGG: rsw
RPV/DEL/A/CSL/SEG: msw
RPV/DEL/A/CSL/CPN: řsw
RPV/DEL/A/CSL/COH: nsw
RPV/DEL/A/CSL/CST: ňsw
RPV/DEL/A/CSL/MLT: ssw
RPV/DEL/A/ASO/UNI: šw
RPV/DEL/A/ASO/DPX: čw
RPV/DEL/A/ASO/DCT: lšw
RPV/DEL/A/ASO/AGG: ršw
RPV/DEL/A/ASO/SEG: mšw
RPV/DEL/A/ASO/CPN: řšw
RPV/DEL/A/ASO/COH: nšw
RPV/DEL/A/ASO/CST: ňšw
RPV/DEL/A/ASO/MLT: ššw
RPV/DEL/A/VAR/UNI: zw
RPV/DEL/A/VAR/DPX: żw
RPV/DEL/A/VAR/DCT: lzw
RPV/DEL/A/VAR/AGG: rzw
RPV/DEL/A/VAR/SEG: mzw
RPV/DEL/A/VAR/CPN: řzw
RPV/DEL/A/VAR/COH: nzw
RPV/DEL/A/VAR/CST: ňzw
RPV/DEL/A/VAR/MLT: zzw
RPV/DEL/A/COA/UNI: žw
RPV/DEL/A/COA/DPX: jw
RPV/DEL/A/COA/DCT: lžw
RPV/DEL/A/COA/AGG: ržw
RPV/DEL/A/COA/SEG: mžw
RPV/DEL/A/COA/CPN: řžw
RPV/DEL/A/COA/COH: nžw
RPV/DEL/A/COA/CST: ňžw
RPV/DEL/A/COA/MLT: žžw
RPV/PRX/M/CSL/UNI: tw
RPV/PRX/M/CSL/DPX: ttw
RPV/PRX/M/CSL/DCT: tʰw
RPV/PRX/M/CSL/AGG: t’w
RPV/PRX/M/CSL/SEG: tt’w
RPV/PRX/M/CSL/CPN: ttʰw
RPV/PRX/M/CSL/COH: ltw
RPV/PRX/M/CSL/CST: rtw
RPV/PRX/M/CSL/MLT: ntw
RPV/PRX/M/ASO/UNI: kw
RPV/PRX/M/ASO/DPX: kkw
RPV/PRX/M/ASO/DCT: kʰw
RPV/PRX/M/ASO/AGG: k’w
RPV/PRX/M/ASO/SEG: kk’w
RPV/PRX/M/ASO/CPN: kkʰw
RPV/PRX/M/ASO/COH: lkw
RPV/PRX/M/ASO/CST: rkw
RPV/PRX/M/ASO/MLT: ňkw
RPV/PRX/M/VAR/UNI: pw
RPV/PRX/M/VAR/DPX: ppw
RPV/PRX/M/VAR/DCT: pʰw
RPV/PRX/M/VAR/AGG: p’w
RPV/PRX/M/VAR/SEG: pp’w
RPV/PRX/M/VAR/CPN: ppʰw
RPV/PRX/M/VAR/COH: lpw
RPV/PRX/M/VAR/CST: rpw
RPV/PRX/M/VAR/MLT: mpw
RPV/PRX/M/COA/UNI: qw
RPV/PRX/M/COA/DPX: qqw
RPV/PRX/M/COA/DCT: qʰw
RPV/PRX/M/COA/AGG: q’w
RPV/PRX/M/COA/SEG: qq’w
RPV/PRX/M/COA/CPN: qqʰw
RPV/PRX/M/COA/COH: lqw
RPV/PRX/M/COA/CST: rqw
RPV/PRX/M/COA/MLT: ňqw
RPV/PRX/U/CSL/UNI: ty
RPV/PRX/U/CSL/DPX: tty
RPV/PRX/U/CSL/DCT: lty
RPV/PRX/U/CSL/AGG: ţy
RPV/PRX/U/CSL/SEG: nty
RPV/PRX/U/CSL/CPN: řty
RPV/PRX/U/CSL/COH: rty
RPV/PRX/U/CSL/CST: pty
RPV/PRX/U/CSL/MLT: tky
RPV/PRX/U/ASO/UNI: ky
RPV/PRX/U/ASO/DPX: kky
RPV/PRX/U/ASO/DCT: lky
RPV/PRX/U/ASO/AGG: ży
RPV/PRX/U/ASO/SEG: ňky
RPV/PRX/U/ASO/CPN: řky
RPV/PRX/U/ASO/COH: rky
RPV/PRX/U/ASO/CST: kty
RPV/PRX/U/ASO/MLT: kpy
RPV/PRX/U/VAR/UNI: py
RPV/PRX/U/VAR/DPX: ppy
RPV/PRX/U/VAR/DCT: lpy
RPV/PRX/U/VAR/AGG: fy
RPV/PRX/U/VAR/SEG: npy
RPV/PRX/U/VAR/CPN: řpy
RPV/PRX/U/VAR/COH: rpy
RPV/PRX/U/VAR/CST: tpy
RPV/PRX/U/VAR/MLT: pky
RPV/PRX/U/COA/UNI: my
RPV/PRX/U/COA/DPX: fty
RPV/PRX/U/COA/DCT: ptw
RPV/PRX/U/COA/AGG: mw
RPV/PRX/U/COA/SEG: ftw
RPV/PRX/U/COA/CPN: ptr
RPV/PRX/U/COA/COH: ftr
RPV/PRX/U/COA/CST: pkw
RPV/PRX/U/COA/MLT: fkw
RPV/PRX/N/CSL/UNI: dw
RPV/PRX/N/CSL/DPX: ddw
RPV/PRX/N/CSL/DCT: ldw
RPV/PRX/N/CSL/AGG: tv
RPV/PRX/N/CSL/SEG: ndw
RPV/PRX/N/CSL/CPN: řdw
RPV/PRX/N/CSL/COH: bdw
RPV/PRX/N/CSL/CST: dgw
RPV/PRX/N/CSL/MLT: rdw
RPV/PRX/N/ASO/UNI: gw
RPV/PRX/N/ASO/DPX: ggw
RPV/PRX/N/ASO/DCT: lgw
RPV/PRX/N/ASO/AGG: kv
RPV/PRX/N/ASO/SEG: ňgw
RPV/PRX/N/ASO/CPN: řgw
RPV/PRX/N/ASO/COH: gdw
RPV/PRX/N/ASO/CST: gbw
RPV/PRX/N/ASO/MLT: rgw
RPV/PRX/N/VAR/UNI: bw
RPV/PRX/N/VAR/DPX: bbw
RPV/PRX/N/VAR/DCT: lbw
RPV/PRX/N/VAR/AGG: pv
RPV/PRX/N/VAR/SEG: mbw
RPV/PRX/N/VAR/CPN: řbw
RPV/PRX/N/VAR/COH: dbw
RPV/PRX/N/VAR/CST: bgw
RPV/PRX/N/VAR/MLT: rbw
RPV/PRX/N/COA/UNI: lw
RPV/PRX/N/COA/DPX: ly
RPV/PRX/N/COA/DCT: ry
RPV/PRX/N/COA/AGG: rw
RPV/PRX/N/COA/SEG: ļw
RPV/PRX/N/COA/CPN: řy
RPV/PRX/N/COA/COH: tļw
RPV/PRX/N/COA/CST: řw
RPV/PRX/N/COA/MLT: lř
RPV/PRX/A/CSL/UNI: dy
RPV/PRX/A/CSL/DPX: ddy
RPV/PRX/A/CSL/DCT: ldy
RPV/PRX/A/CSL/AGG: dhy
RPV/PRX/A/CSL/SEG: ndy
RPV/PRX/A/CSL/CPN: řdy
RPV/PRX/A/CSL/COH: rdy
RPV/PRX/A/CSL/CST: bdy
RPV/PRX/A/CSL/MLT: dgy
RPV/PRX/A/ASO/UNI: gy
RPV/PRX/A/ASO/DPX: ggy
RPV/PRX/A/ASO/DCT: lgy
RPV/PRX/A/ASO/AGG: jy
RPV/PRX/A/ASO/SEG: ňgy
RPV/PRX/A/ASO/CPN: řgy
RPV/PRX/A/ASO/COH: rgy
RPV/PRX/A/ASO/CST: gdy
RPV/PRX/A/ASO/MLT: gby
RPV/PRX/A/VAR/UNI: by
RPV/PRX/A/VAR/DPX: bby
RPV/PRX/A/VAR/DCT: lby
RPV/PRX/A/VAR/AGG: vy
RPV/PRX/A/VAR/SEG: mby
RPV/PRX/A/VAR/CPN: řby
RPV/PRX/A/VAR/COH: rby
RPV/PRX/A/VAR/CST: dby
RPV/PRX/A/VAR/MLT: bgy
RPV/PRX/A/COA/UNI: ny
RPV/PRX/A/COA/DPX: xty
RPV/PRX/A/COA/DCT: ktw
RPV/PRX/A/COA/AGG: nw
RPV/PRX/A/COA/SEG: xtw
RPV/PRX/A/COA/CPN: ktr
RPV/PRX/A/COA/COH: xtr
RPV/PRX/A/COA/CST: tkw
RPV/PRX/A/COA/MLT: ţkw
RPV/ICP/M/CSL/UNI: tl
RPV/ICP/M/CSL/DPX: ttl
RPV/ICP/M/CSL/DCT: ltl
RPV/ICP/M/CSL/AGG: rtl
RPV/ICP/M/CSL/SEG: ntl
RPV/ICP/M/CSL/CPN: řtl
RPV/ICP/M/CSL/COH: mtl
RPV/ICP/M/CSL/CST: ļtl
RPV/ICP/M/CSL/MLT: kçw
RPV/ICP/M/ASO/UNI: kl
RPV/ICP/M/ASO/DPX: kkl
RPV/ICP/M/ASO/DCT: lkl
RPV/ICP/M/ASO/AGG: rkl
RPV/ICP/M/ASO/SEG: ňkl
RPV/ICP/M/ASO/CPN: řkl
RPV/ICP/M/ASO/COH: mkl
RPV/ICP/M/ASO/CST: ļkl
RPV/ICP/M/ASO/MLT: c’w
RPV/ICP/M/VAR/UNI: pl
RPV/ICP/M/VAR/DPX: ppl
RPV/ICP/M/VAR/DCT: lpl
RPV/ICP/M/VAR/AGG: rpl
RPV/ICP/M/VAR/SEG: mpl
RPV/ICP/M/VAR/CPN: řpl
RPV/ICP/M/VAR/COH: ňpl
RPV/ICP/M/VAR/CST: ļpl
RPV/ICP/M/VAR/MLT: tfw
RPV/ICP/M/COA/UNI: ql
RPV/ICP/M/COA/DPX: qql
RPV/ICP/M/COA/DCT: lql
RPV/ICP/M/COA/AGG: rql
RPV/ICP/M/COA/SEG: ňql
RPV/ICP/M/COA/CPN: řql
RPV/ICP/M/COA/COH: mql
RPV/ICP/M/COA/CST: ļql
RPV/ICP/M/COA/MLT: č’w
RPV/ICP/U/CSL/UNI: dl
RPV/ICP/U/CSL/DPX: ddl
RPV/ICP/U/CSL/DCT: ldl
RPV/ICP/U/CSL/AGG: rdl
RPV/ICP/U/CSL/SEG: ndl
RPV/ICP/U/CSL/CPN: řdl
RPV/ICP/U/CSL/COH: bdl
RPV/ICP/U/CSL/CST: dgl
RPV/ICP/U/CSL/MLT: vbl
RPV/ICP/U/ASO/UNI: gl
RPV/ICP/U/ASO/DPX: ggl
RPV/ICP/U/ASO/DCT: lgl
RPV/ICP/U/ASO/AGG: rgl
RPV/ICP/U/ASO/SEG: ňgl
RPV/ICP/U/ASO/CPN: řgl
RPV/ICP/U/ASO/COH: gdl
RPV/ICP/U/ASO/CST: gbl
RPV/ICP/U/ASO/MLT: vgl
RPV/ICP/U/VAR/UNI: bl
RPV/ICP/U/VAR/DPX: bbl
RPV/ICP/U/VAR/DCT: lbl
RPV/ICP/U/VAR/AGG: rbl
RPV/ICP/U/VAR/SEG: mbl
RPV/ICP/U/VAR/CPN: řbl
RPV/ICP/U/VAR/COH: dbl
RPV/ICP/U/VAR/CST: bgl
RPV/ICP/U/VAR/MLT: vdl
RPV/ICP/U/COA/UNI: ml
RPV/ICP/U/COA/DPX: mř
RPV/ICP/U/COA/DCT: ňl
RPV/ICP/U/COA/AGG: nl
RPV/ICP/U/COA/SEG: ţř
RPV/ICP/U/COA/CPN: fř
RPV/ICP/U/COA/COH: př
RPV/ICP/U/COA/CST: tř
RPV/ICP/U/COA/MLT: lr
RPV/ICP/N/CSL/UNI: skl
RPV/ICP/N/CSL/DPX: ckl
RPV/ICP/N/CSL/DCT: ckw
RPV/ICP/N/CSL/AGG: skw
RPV/ICP/N/CSL/SEG: sskw
RPV/ICP/N/CSL/CPN: çkw
RPV/ICP/N/CSL/COH: sk’w
RPV/ICP/N/CSL/CST: ck’w
RPV/ICP/N/CSL/MLT: sskl
RPV/ICP/N/ASO/UNI: stl
RPV/ICP/N/ASO/DPX: ctl
RPV/ICP/N/ASO/DCT: ctw
RPV/ICP/N/ASO/AGG: stw
RPV/ICP/N/ASO/SEG: sstw
RPV/ICP/N/ASO/CPN: çtw
RPV/ICP/N/ASO/COH: st’w
RPV/ICP/N/ASO/CST: ct’w
RPV/ICP/N/ASO/MLT: sstl
RPV/ICP/N/VAR/UNI: spl
RPV/ICP/N/VAR/DPX: cpl
RPV/ICP/N/VAR/DCT: cpw
RPV/ICP/N/VAR/AGG: spw
RPV/ICP/N/VAR/SEG: sspw
RPV/ICP/N/VAR/CPN: çpw
RPV/ICP/N/VAR/COH: sp’w
RPV/ICP/N/VAR/CST: cp’w
RPV/ICP/N/VAR/MLT: sspl
RPV/ICP/N/COA/UNI: sql
RPV/ICP/N/COA/DPX: cql
RPV/ICP/N/COA/DCT: cqw
RPV/ICP/N/COA/AGG: sqw
RPV/ICP/N/COA/SEG: ssqw
RPV/ICP/N/COA/CPN: çqw
RPV/ICP/N/COA/COH: sq’w
RPV/ICP/N/COA/CST: cq’w
RPV/ICP/N/COA/MLT: ssql
RPV/ICP/A/CSL/UNI: škl
RPV/ICP/A/CSL/DPX: čkl
RPV/ICP/A/CSL/DCT: čkw
RPV/ICP/A/CSL/AGG: škw
RPV/ICP/A/CSL/SEG: šškw
RPV/ICP/A/CSL/CPN: xxw
RPV/ICP/A/CSL/COH: šk’w
RPV/ICP/A/CSL/CST: čk’w
RPV/ICP/A/CSL/MLT: šškl
RPV/ICP/A/ASO/UNI: štl
RPV/ICP/A/ASO/DPX: čtl
RPV/ICP/A/ASO/DCT: čtw
RPV/ICP/A/ASO/AGG: štw
RPV/ICP/A/ASO/SEG: šštw
RPV/ICP/A/ASO/CPN: ţţw
RPV/ICP/A/ASO/COH: št’w
RPV/ICP/A/ASO/CST: čt’w
RPV/ICP/A/ASO/MLT: šštl
RPV/ICP/A/VAR/UNI: špl
RPV/ICP/A/VAR/DPX: čpl
RPV/ICP/A/VAR/DCT: čpw
RPV/ICP/A/VAR/AGG: špw
RPV/ICP/A/VAR/SEG: ššpw
RPV/ICP/A/VAR/CPN: ffw
